geneName dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP qvalue
EBF3 2 3 4.92613e-06 1.57515113249799e-06 43909503.6432913 0.999999220480855 4.65291841167392e-08
GNAO1 4 1 5.09544e-06 1.05692895306751e-06 5018694.58183623 0.999993179881458 2.04054518013907e-07
WAC 1 3 7.71882e-07 1.87310768307369e-06 3377589.88451568 0.999989866153169 4.29731616046808e-07
AUTS2 0 4 4.11188e-06 2.93331467978904e-06 3091420.73327671 0.999988928085371 6.66224571885563e-07
GNAI1 5 0 3.2284e-06 8.41072144966805e-07 2803820.20329529 0.999987792402834 9.17123976108402e-07
HECW2 5 1 1.12616e-05 4.53171156771315e-06 2591128.67530627 0.999986790361437 1.17866683964972e-06
ASXL1 0 4 6.26457e-06 3.06207686144014e-06 1891811.5169508 0.999981907443829 1.53103953406027e-06
EFTUD2 3 2 1.19235e-05 2.45799779606698e-06 1478338.15371256 0.999976847291095 1.97229809264102e-06
CTCF 5 0 4.13442e-06 1.69845313967294e-06 1201650.35058489 0.999971516381241 2.50252450596289e-06
DNMT3A 4 1 7.03148e-06 2.63161170663735e-06 1013711.05620381 0.999966235773486 3.1154990551318e-06
SRCAP 1 4 1.15959e-05 6.83935755027585e-06 905019.877465538 0.999962180906981 3.78287586212346e-06
TRIP12 2 3 1.05276e-05 5.3875900593284e-06 824155.235014772 0.9999584703191 4.4950797307666e-06
CLTC 2 3 1.74427e-05 4.1991313353424e-06 553937.503448744 0.999938212866378 5.55604369171195e-06
FOXG1 0 3 1.04146e-10 4.50908786334241e-07 505279.505900144 0.999932263219668 6.68660253971326e-06
BRPF1 0 4 1.54224e-05 2.76085071171998e-06 492496.415907568 0.999930505186196 7.8081777408657e-06
SET 0 3 1.10038e-06 8.27016325804345e-07 305686.732860507 0.999888040632605 9.63539159445184e-06
CNOT3 2 2 6.53953e-06 2.11370156523541e-06 236669.183413533 0.999855395724285 1.19624413206749e-05
MAP4K4 3 2 1.42226e-05 4.81868574978372e-06 163467.217691973 0.999790654295435 1.53079203587103e-05
SIN3A 1 3 1.07912e-05 3.48534007635975e-06 146265.734452805 0.999766040094858 1.89521201050979e-05
TAB2 0 3 8.17942e-07 1.9998340013333e-06 130760.518712169 0.999738305045202 2.29315108377721e-05
PUF60 0 3 3.84706e-06 1.37372396794902e-06 119732.442735216 0.999714208259187 2.7171191966412e-05
QRICH1 0 3 1.71702e-06 1.96188074077523e-06 113485.238006549 0.999698480564437 3.15259259917582e-05
MBD5 0 3 1.17166e-06 2.40165410689787e-06 89943.4402506412 0.999619590883432 3.69772258445086e-05
MYT1L 2 2 9.73886e-06 3.00372375064437e-06 64823.893425428 0.999472258454456 4.45274461475746e-05
CHD4 5 1 2.46874e-05 5.8352561741351e-06 64699.4710647042 0.999471244101043 5.18642408871174e-05
SHANK3 0 3 1.04146e-10 3.26148701268046e-06 58621.1596737667 0.999416450447581 5.9799842551766e-05
CSNK2A1 4 0 2.86253e-06 2.09234437483748e-06 44221.0084729838 0.99922657005385 7.02944028988043e-05
SCN8A 6 0 2.63087e-05 4.3158115063523e-06 38883.5299777208 0.999120495966205 8.20220787088909e-05
HNRNPK 1 2 1.63929e-06 1.71698827777902e-06 35885.8930164005 0.999047098836662 9.4463208489307e-05
COL4A3BP 4 0 4.73721e-06 2.30956120436964e-06 24739.252207056 0.998618348141716 0.000112592626092054
HIVEP2 2 2 1.17727e-05 3.98087911016886e-06 21265.7934622854 0.998393038009303 0.000133347756156016
WDR26 1 2 5.13745e-06 1.74901985418411e-06 17660.3647650068 0.998065605394883 0.000158019630799323
KCNH1 4 0 8.11397e-06 1.90859348122776e-06 15845.234664493 0.997844490998492 0.000185012730403494
ARID2 0 3 4.77139e-06 3.85301400111731e-06 15336.9378833424 0.997773212198151 0.000212236398022772
HK1 3 1 1.28394e-05 2.59456785168484e-06 12779.7752562779 0.997328834411849 0.000244590729471827
TCF12 1 2 6.50829e-06 2.00793843868342e-06 11178.88018138 0.996947472202457 0.000281057444641586
SON 0 3 5.5005e-06 4.43413363133607e-06 8692.83979953231 0.996077912430176 0.000327737318041357
WHSC1 0 3 1.03403e-05 3.32953646522328e-06 8444.54441140192 0.99596305662667 0.000374689293424753
FOXP2 1 2 5.34142e-06 3.06509959744924e-06 6315.87632025886 0.994609801361749 0.00043738316023508
HIST1H1E 0 2 1.32621e-06 9.89493543956475e-08 5687.88324971419 0.99401823523284 0.000505832315876123
TNPO3 1 2 5.38367e-06 3.34901503805042e-06 5070.1444219289 0.993294313109936 0.00058144029848817
RAB11A 3 0 1.43383e-06 1.07535314235479e-06 4867.31521207183 0.993016827219408 0.000658569605501469
C9orf142 0 2 4.75407e-07 6.48988004374645e-07 4384.89827663945 0.9922545044539 0.000742937771460979
PUM2 1 2 8.57896e-06 2.80664841150242e-06 4159.66675682471 0.991838535599325 0.000830214555334088
MAP2K1 3 0 2.50686e-06 9.71538746584985e-07 4155.4327352434 0.991830287720581 0.000915557552125778
ZBTB7A 0 2 1.04146e-10 8.44993730807955e-07 4135.1456982193 0.991790536128483 0.000999395555796939
KCNB1 2 1 7.20922e-06 1.38445264704399e-06 4076.79839965165 0.991674020213695 0.00108265219477999
PRPF40A 1 2 7.53693e-06 3.14863046210419e-06 3913.2151847103 0.991328989173355 0.0011679146513178
VEZF1 0 2 1.04146e-10 1.02099393973529e-06 3615.29783705505 0.990621159051864 0.00125914716572689
CAMTA1 1 2 5.27855e-06 3.9364274639481e-06 3345.85884543639 0.989873537668188 0.00135659018953003
FOSL2 0 2 2.99671e-06 6.3170287802219e-07 2759.26183910725 0.987747110819084 0.0014750282220451
GABRB2 3 0 4.07146e-06 1.27127820669132e-06 2373.31515774448 0.98578288381776 0.00161203992054182
EEF1A2 3 0 5.94069e-06 8.4463622474678e-07 2189.713020221 0.984609160002785 0.00175862290008089
MN1 0 2 1.04146e-10 1.89738643460909e-06 1858.76661506004 0.981918427417831 0.00193044342305024
LZTR1 2 1 8.59713e-06 2.23767384865722e-06 1642.56040382341 0.979586977883954 0.00212297028443561
SLC2A1 0 2 5.53367e-06 9.2030495875332e-07 1387.54813429098 0.975925663151743 0.00234927303251624
LARP4B 0 2 1.8308e-06 2.11644423711817e-06 1111.3751595815 0.970122013539444 0.00263017827157787
KDM5B 0 3 1.35061e-05 5.3870233618222e-06 1059.82565726936 0.968714226212211 0.00291962873133758
SUV420H1 0 2 2.31903e-06 2.11687511277005e-06 1013.44271332843 0.967329128945907 0.00321714115456513
MEIS2 0 2 5.51015e-06 1.45336572979209e-06 928.670205812007 0.964452822074325 0.00353724052853652
SF1 0 2 4.08513e-06 1.81527860538851e-06 916.220719977767 0.963987206279161 0.00385562830493164
KCNQ3 3 0 5.53308e-06 2.24184774549103e-06 851.484339849611 0.961355045765688 0.00419338875084795
PRKD1 3 0 6.75272e-06 2.01758655022832e-06 777.013113076648 0.957807474088668 0.00455876506969875
PRR12 0 2 1.26951e-06 2.87472530784553e-06 699.436429946565 0.953346095524186 0.00495967115928081
CHD7 2 2 1.64936e-05 7.5270932316448e-06 676.560063749352 0.95184456311371 0.00536717838312052
GOLPH3 1 1 3.35158e-06 5.9967443188894e-07 673.23587743989 0.951618293511124 0.00576918331868833
SETD2 1 2 5.31448e-06 6.14869816234465e-06 658.972298100388 0.950622771744876 0.00617296151254421
SLC12A2 2 1 1.0357e-05 3.02647034784138e-06 652.20776048923 0.950136180022026 0.00657379507644724
CACNA1E 2 2 2.20975e-05 6.21775639686035e-06 645.018262154467 0.949608395477712 0.00697213879868216
OTX1 1 1 3.7785e-06 6.07901647370635e-07 615.523451371156 0.947320920639541 0.00738391303797744
SNX11 1 1 1.8188e-06 1.13485830409717e-06 608.804057247099 0.946770448368066 0.00779324909685205
SMPD2 1 1 2.24303e-06 1.10189238670082e-06 573.655113166998 0.94369261729886 0.0082225777128192
PTEN 1 1 2.31793e-06 1.0976052655945e-06 567.032782895089 0.943072444000038 0.0086498143644608
CHD3 3 1 1.43599e-05 6.53980174660845e-06 544.365009310278 0.94084217124593 0.00908901448958784
TGFB2 1 1 3.72766e-06 8.9487242356677e-07 500.66352485625 0.93600888591484 0.00956230845161864
CACNA1A 5 0 2.16912e-05 7.32193352696025e-06 493.38428435444 0.935126028491077 0.0100350577085187
EIF4A2 1 1 3.02391e-06 1.09937998317732e-06 492.675513491254 0.935038762509337 0.0105005338083673
MAP2 0 2 2.31371e-06 3.09217149417754e-06 488.162451311651 0.934477546429113 0.010962902882002
FBXO11 0 2 3.83116e-06 2.74193059203495e-06 478.078169839811 0.933187797283521 0.0114283137139559
CUL3 0 2 6.93316e-06 2.08073954314112e-06 446.982025364395 0.92887034670285 0.0119217132146435
NAA15 0 2 6.32882e-06 2.22529729189967e-06 446.789062496367 0.928841812636833 0.0124072580847134
ARID1A 1 2 1.41998e-05 4.74088230060955e-06 359.676675067905 0.913105125926317 0.0130128484586074
VAMP2 2 0 9.86896e-07 3.87624502611858e-07 350.204276680662 0.910964040959665 0.013625938060073
NOC4L 1 1 4.23599e-06 1.37013815360509e-06 317.357992203146 0.902646025460117 0.0142957623519114
LEO1 1 1 2.15872e-06 1.9621083877004e-06 306.515643767343 0.899548257607884 0.0149795399712781
PRKAR1A 1 1 3.39644e-06 1.63616594220757e-06 306.300327929811 0.899484742098008 0.0156530495612838
KIF11 0 2 6.29784e-06 2.77915073870766e-06 296.438801739255 0.89648706326345 0.0163394549298405
FAM104A 2 0 8.12873e-07 6.65345726659345e-07 295.375515432184 0.896153135454981 0.0170178069423613
CTNND1 0 2 6.93574e-06 2.71763023974444e-06 276.820696485674 0.889958421329122 0.017733374417196
HIST1H2AC 2 0 2.99466e-06 1.93895554450596e-07 266.124529866136 0.886039620359364 0.018467931708978
CAMK2A 1 1 3.62313e-06 1.86552671505257e-06 246.923953727186 0.878256987571188 0.0192503186841283
PHIP 1 2 1.10963e-05 6.07374781587805e-06 236.875405225741 0.873744542972152 0.0200548685964871
TRAF7 1 1 3.4084e-06 2.01435316937978e-06 230.489767149594 0.870698957209914 0.0208701385531557
ASIC2 1 1 5.53001e-06 1.49270600731199e-06 225.626424263647 0.868279007959884 0.0216912559863924
AZI1 3 0 9.90249e-06 2.94687455898404e-06 206.520877172789 0.857825799437329 0.0225771599906298
MYH13 0 2 1.04146e-10 4.86499722348016e-06 204.344396394176 0.856528755029259 0.023459598567127
RAB11B 2 0 3.09998e-06 5.441402778942e-07 200.470063860218 0.854160373576804 0.0243464103631854
DOPEY1 1 2 1.12499e-05 6.2730513360965e-06 199.470025718749 0.853536299045452 0.0252249520221161
CLDN5 2 0 3.18516e-06 5.4506815356102e-07 196.841426305681 0.851870159728212 0.0261028440810423
TMEM26 2 0 2.19949e-06 8.54542426186615e-07 191.799664574847 0.848565987709896 0.0269917176144399
NOBOX 2 0 7.72837e-07 1.51476646132375e-06 158.740397514646 0.822622418315227 0.0280507729952169
PHF12 1 1 4.02739e-06 2.40939918949387e-06 152.333870495401 0.816531290023487 0.0291376117153658
PPP2R3A 1 1 4.01081e-06 2.4488715304877e-06 148.420586745362 0.81260044196694 0.0302366530092387
PHTF2 1 1 4.83178e-06 2.27203288093609e-06 144.346076984479 0.808324569735892 0.0313500238868585
GLI3 0 2 9.85836e-06 2.95323699215403e-06 138.60911164018 0.801962317902484 0.0324917201759726
SYT1 2 0 2.55503e-06 1.19531081812762e-06 138.352686186575 0.801668068251309 0.0336198848805489
CYP27C1 2 0 3.23948e-06 1.00755823592102e-06 138.010984503601 0.801274602004269 0.0347354626718677
FAM5B 1 1 7.98507e-06 1.56739143667756e-06 134.142507833249 0.796708700944525 0.0358667098959187
NFE2L2 2 0 3.36028e-06 1.03450300148264e-06 131.956029504398 0.794034008612341 0.0370007051058637
BNC2 1 1 6.24624e-06 2.05297069024416e-06 129.574072121378 0.791038922940708 0.0381395155161513
OGFOD3 2 0 3.6757e-06 1.01141941160945e-06 125.808733238626 0.786122503737194 0.0392956864421161
ENO1 2 0 3.84501e-06 1.04620451538158e-06 118.422832066224 0.775774216331617 0.0405043798880394
AIFM3 1 1 6.9023e-06 2.04529066078248e-06 115.090331964525 0.770769935821749 0.0417298713444694
PSAP 2 0 3.41388e-06 1.22250730130646e-06 113.542697838557 0.768369165615169 0.0429550388479556
PPP1CB 2 0 3.12454e-06 1.30994227930662e-06 112.970621779 0.767468952281217 0.0441702696740506
SMARCA4 4 0 2.27931e-05 4.70286086575143e-06 109.891248641852 0.762500509468436 0.0454016659852449
LAMB1 0 2 1.04146e-10 5.72795092539035e-06 108.89210690608 0.76084249565889 0.0466279687596492
ZFHX3 1 2 1.52949e-05 6.14819773218535e-06 106.57305705176 0.756903484792024 0.0478636199951732
SETD1A 0 2 9.7792e-06 3.43425073986938e-06 98.1878302334629 0.741509446135701 0.0491800383318553
WARS 2 0 4.81353e-06 1.07584217743878e-06 95.0993312722102 0.735336382867096 0.0505184456536009
NR2F1 2 0 5.44313e-06 9.29782971599305e-07 93.3177027084439 0.731639425250968 0.05186315015419
TCF7L2 1 1 5.97024e-06 2.61030588473006e-06 90.321073204841 0.725182732365932 0.0532309668258457
CBL 1 1 5.75339e-06 2.68996946199282e-06 88.7520405547068 0.721676503852604 0.054603482248538
CHD8 0 3 2.00668e-05 7.3524426636848e-06 86.5835427469351 0.716680770399963 0.0559896382930926
MAEA 2 0 5.84074e-06 1.02088463266554e-06 80.5181438959456 0.701704761638946 0.0574493105826586
ATP1A3 3 0 1.70418e-05 2.32817682123143e-06 80.4364192064422 0.701492158490384 0.0588927748397063
PPP2R1A 2 0 4.47407e-06 1.42291450596401e-06 78.8162212170996 0.697213829114657 0.0603445212447398
NR4A2 2 0 5.68316e-06 1.14250970044655e-06 75.9434020755823 0.689318428658224 0.0618258055648406
SOX5 1 1 7.93656e-06 2.34711115619791e-06 75.7411579117233 0.688747056194498 0.0632930240250798
GABRB3 2 0 4.5178e-06 1.48596590900185e-06 74.5656945596429 0.685384128445716 0.0647627482796365
PBX1 2 0 4.85402e-06 1.41424646334096e-06 73.4320289984756 0.682071217388301 0.0662346438280788
OR10J3 0 1 1.04146e-10 2.43180896309747e-07 73.425526876136 0.682052014992885 0.0676896342395183
CRCT1 0 1 1.04146e-10 2.51649346007598e-07 72.955498827854 0.680657733048707 0.0691359137378618
HIST1H4H 0 1 1.04146e-10 2.57471946064332e-07 72.6340958843424 0.67969726871205 0.0705711526952909
PLAC1L 0 1 1.04146e-10 2.93059177866421e-07 70.7006760024789 0.673795376379823 0.0720236155982732
PTMA 0 1 1.04146e-10 3.1072015995762e-07 69.7606329119819 0.670846540200875 0.0734763265824588
TMEM105 0 1 1.04146e-10 3.21918548002238e-07 69.1711516870704 0.668970033760936 0.0749232571423274
WDR87 0 2 2.86618e-06 5.6136409353317e-06 68.7213723745869 0.667523789295678 0.0763621004583161
GUCA2A 0 1 4.93987e-07 2.07739591352213e-07 68.6021360517329 0.667138268894079 0.0777870984063584
HIVEP3 0 2 9.09393e-06 4.08415757760704e-06 68.3667327206872 0.666374520993306 0.0792005701223823
C13orf45 0 1 1.04146e-10 3.45754357875709e-07 67.933201372098 0.66495875217712 0.0806062881317257
KCNE2 0 1 2.47372e-07 2.86809390616576e-07 67.7382299001414 0.664318115793425 0.0820001438479817
TEX12 0 1 1.04146e-10 3.56693542745224e-07 67.3726030616444 0.663110112009358 0.0833854141965831
RYBP 0 1 1.04146e-10 3.70600336020836e-07 66.6666917360612 0.660753064118145 0.084768449448936
LY6E 0 1 3.52036e-07 3.16171638703069e-07 64.93013198397 0.654811840441086 0.0861685554172692
TOMM20L 0 1 1.60624e-07 3.64986137525372e-07 64.9150859184178 0.654759454472046 0.087553967129091
OR2L3 0 1 1.04146e-10 4.29500755437558e-07 63.7590865499266 0.650686504236812 0.0889463050473575
MEA1 0 1 1.04146e-10 4.49755582395958e-07 62.789207203297 0.647194434959224 0.0903423857880634
POU3F3 0 1 1.04146e-10 4.51293831730132e-07 62.7161640208137 0.646928612307327 0.091725170008614
EIF4EBP1 0 1 1.15639e-06 1.61362257866551e-07 62.6223265521065 0.646586525551879 0.0930952658433758
ITPR1 5 0 3.32545e-05 7.15869087770605e-06 62.5576587289699 0.646350391360941 0.0944523197121033
LRP3 2 0 5.46139e-06 1.48424896956256e-06 61.6804981846668 0.643115991526105 0.0958120693948069
TNFRSF6B 0 1 1.04146e-10 4.75631829073418e-07 61.5718836713397 0.642711370458314 0.0971598867151516
GIMAP1 0 1 1.04146e-10 4.79139647771694e-07 61.4087140783735 0.642101788223614 0.0984970063308502
SECTM1 0 1 1.04146e-10 4.89702921945682e-07 60.9199968281118 0.640263489598777 0.0998298609434542
SOX11 0 1 1.04146e-10 4.97175981376781e-07 60.5766345291122 0.63896060465141 0.101155797666323
TAS2R14 0 1 1.04146e-10 5.23051581060035e-07 59.4028265974074 0.634434430436795 0.102491200554691
PTPN11 2 0 4.34789e-06 1.84616665220988e-06 59.2032460299493 0.63365354039407 0.103817106379069
LMO4 0 1 8.33598e-07 3.7979794571639e-07 56.4295924994383 0.622445273378188 0.105185794480283
CSPP1 1 1 2.75224e-06 4.10539065925955e-06 56.2471055126975 0.621683753662997 0.106544652449719
FAM84A 0 1 3.67172e-07 5.0493575169591e-07 56.1210541827964 0.621155944106508 0.107892669298451
ZRANB1 2 0 4.586e-06 1.86217901134223e-06 55.7430519983027 0.619564283682613 0.109235245884751
ARL14EP 0 1 7.71741e-07 4.39985376491807e-07 54.5564721838976 0.614479884620218 0.110589583480315
PHF5A 0 1 1.09781e-06 3.75738829292788e-07 53.8245067569955 0.611275133689711 0.111946340957534
RPL26 0 1 2.88217e-07 6.1357115053939e-07 52.4861739000186 0.605275638045691 0.113319049797324
APCS 0 1 8.95827e-07 4.81580891908845e-07 51.6293179408191 0.601336304183654 0.114697526348141
MPZ 0 1 8.65098e-07 5.1428409278694e-07 50.6640154184059 0.596803138206685 0.116084542383935
CREBZF 0 1 2.02249e-07 6.8864890331504e-07 50.4189831369923 0.595635986544152 0.117463869996719
MRPL41 0 1 1.88379e-06 2.87455652016586e-07 49.5861540738268 0.591617992224283 0.118849194462334
BPIFA3 0 1 1.04146e-10 7.7295254785722e-07 49.1876284166941 0.589666918112722 0.120230634687096
RTDR1 0 1 4.26991e-07 6.68951467677645e-07 49.0144460294918 0.588813240833156 0.121603069236529
C9orf135 0 1 5.83363e-07 6.29724221568165e-07 48.9987033617959 0.588735463498007 0.122962982228386
C19orf71 0 1 5.88289e-07 6.32347785653745e-07 48.8556509444841 0.588027356006287 0.124313494666541
ZNF623 0 1 1.04146e-10 7.84718002666075e-07 48.7531826597019 0.587518638688571 0.125653810325355
YY1 0 1 1.04146e-10 7.95869420993725e-07 48.3450028332319 0.585479644087574 0.126991155443814
SLC35A4 0 1 1.05397e-06 5.6523691489466e-07 47.0264379575695 0.578752998671664 0.128347173166784
ZNF273 0 1 1.04146e-10 8.9823805227048e-07 44.7561425764591 0.566644857086922 0.12974629229406
RPS20 0 1 9.08118e-07 6.8066428709122e-07 44.3144760567106 0.564207988854544 0.131143761329911
ZFP36L2 0 1 1.41602e-06 5.837349461205e-07 43.2912937382931 0.558455965235382 0.132554671663705
FAM65A 1 1 7.65243e-06 3.18566877384238e-06 43.0042329431138 0.556814818231804 0.13396023958273
EMX1 0 1 2.38041e-06 3.63401379444908e-07 42.6370675485791 0.554697841321332 0.135362680659739
FAM200A 0 1 1.93016e-08 9.6582735842528e-07 42.3789189511096 0.553197276607564 0.136759272779617
PGBD4 0 1 1.04146e-10 9.76614144523815e-07 42.1919588595754 0.552104186221191 0.138148275194792
ATP6V0C 0 1 2.71474e-06 2.9508423677318e-07 42.176246176215 0.55201207595928 0.139525340300773
TTC9C 0 1 8.94087e-07 7.57122322609645e-07 41.9423876280394 0.550636667992983 0.140896304865845
SPRY1 0 1 1.84028e-06 5.2212966144502e-07 41.8569681085726 0.550132176282312 0.142257412878409
FAM200B 0 1 1.04146e-10 9.99739930534245e-07 41.4642124809343 0.547797889120424 0.143616819448589
MYL6B 0 1 1.24199e-06 6.93523872698725e-07 41.1848073546238 0.546122483481249 0.144971669654136
RSU1 0 1 1.14224e-06 7.19358650415135e-07 41.1626928542939 0.545989347270605 0.146315317406637
BTBD19 0 1 1.04146e-10 1.00963425223579e-06 41.1567483808975 0.545953546360545 0.147647486827558
ZNF775 0 1 1.04146e-10 1.0125377365816e-06 41.0669627278308 0.545412119953012 0.148970505763849
CYFIP2 3 0 1.55045e-05 3.66349449581764e-06 40.8482152364457 0.544087605563924 0.150287852925532
ENKUR 0 1 1.40092e-06 6.7052706371396e-07 40.6607665685855 0.542946449105276 0.151598817446768
KLF1 0 1 9.52761e-07 7.87863629497675e-07 40.5254927097272 0.54211936897631 0.152902144313053
LRRC46 0 1 6.34399e-07 8.6996526729175e-07 40.4806676202801 0.541844642475413 0.154195590131746
ZSCAN22 0 1 1.04146e-10 1.0433257146995e-06 40.1270266829452 0.53966561318551 0.155487315012264
ZNF391 0 1 1.04146e-10 1.05517421614039e-06 39.7711402311128 0.537451721907351 0.156777487126047
AKAP7 0 1 6.74042e-07 8.96121055297595e-07 39.3913193327514 0.535065327581144 0.158066847733966
KRT18 0 1 5.82364e-07 9.2436954289802e-07 39.244266493098 0.534134776989992 0.159349340964283
FAM71F1 0 1 1.25488e-06 7.816034437718e-07 38.4429759869523 0.528998039747837 0.160642505359669
ZC2HC1B 0 1 8.67586e-07 8.90249350658065e-07 38.1305271263337 0.526964231572837 0.161933386612014
IRF2BPL 0 1 1.04146e-10 1.11236332372961e-06 38.0978715964573 0.526750654275716 0.16321452224622
SPRY2 0 1 1.52463e-06 7.37327882510515e-07 37.7659759836001 0.524568962411434 0.164494098128771
TRIML1 0 1 1.3027e-06 7.9702769458732e-07 37.6550301652914 0.523835175221207 0.165766223543669
WTIP 0 1 1.04146e-10 1.13308651759375e-06 37.5093186285643 0.522868002277628 0.167031938072851
VAPA 0 1 2.12921e-06 5.9925746665093e-07 37.3941809602756 0.522100982684698 0.168290509243873
BPTF 0 2 1.04146e-10 7.21243267739625e-06 37.3505650573779 0.521809779552086 0.169540104853567
RRAS 0 1 2.52164e-06 5.1615080608145e-07 36.9898138682451 0.519387535831635 0.17078939143716
HOXC10 0 1 2.18823e-06 6.02815973730685e-07 36.8820450898307 0.518659160802967 0.1720315972282
ANP32A 0 1 1.28683e-06 8.31284364941635e-07 36.8059021213876 0.518143202206654 0.173265960577065
PRRX2 0 1 3.26182e-06 3.42714546100974e-07 36.7360458923809 0.517668869831188 0.174492409662746
HTR3C 0 1 6.49534e-07 1.00498445918306e-06 36.4628051252873 0.515804526638551 0.175716532444164
NUP85 2 0 5.17855e-06 2.29198374436949e-06 36.0715455847118 0.51310969810238 0.17694162602469
S1PR4 0 1 2.78114e-06 4.89591693791048e-07 35.9514859186153 0.512276753613622 0.178160377477088
FADS3 0 1 1.04146e-10 1.20779837672868e-06 35.4629325044338 0.508857689812576 0.179382963151738
OTX2 0 1 1.73521e-06 7.67936014425335e-07 35.4628981768362 0.508857447892078 0.180596035482307
GPRIN1 0 1 2.00649e-09 1.2080526746298e-06 35.443180702184 0.508718451459222 0.181800242897262
C1orf198 0 1 1.21076e-06 9.04269818243055e-07 35.343882552232 0.508017261281393 0.182997858711244
FAM26F 0 1 1.99393e-06 7.08112404519575e-07 35.3322821030511 0.507935214546005 0.184186577660255
TOP2B 0 2 1.25189e-05 4.18500615205161e-06 35.1874503959974 0.506908551917418 0.185370121225091
SNAP25 0 1 1.67275e-06 7.9450762050824e-07 35.1722547769018 0.506800586972403 0.18654504218617
